"","country","year","total_events","riot_count","protest_count","vac_count","score","rank","HDI_score","GDP_per_capita","unemployment_percent"
"1","Algeria",2005,35,19,6,10,19,97,0.57,3113.101094,15.27000046
"2","Algeria",2006,49,10,7,32,24,84,0.577,3478.654871,12.27000046
"3","Algeria",2007,15,2,2,11,21,99,0.588,3950.519369,13.78999996
"4","Algeria",2008,38,11,9,18,25,92,0.588,4923.629265,11.32999992
"5","Algeria",2009,35,17,12,6,19,111,0.608,3883.261271,10.15999985
"6","Algeria",2010,26,10,8,8,20,110,0.626,4480.799271,9.960000038
"7","Algeria",2011,229,124,90,15,20,112,0.644,5455.853529,9.960000038
"8","Algeria",2012,88,20,60,8,27,105,0.639,5592.257099,10.97000027
"9","Egypt",2005,39,3,28,8,27,70,0.507,1187.51969,11.19999981
"10","Egypt",2006,3,1,2,0,26,70,0.518,1398.190624,10.48999977
"11","Egypt",2007,3,1,1,1,20,105,0.529,1667.843721,8.800000191
"12","Egypt",2008,67,14,31,22,19,115,0.54,2044.527855,8.517000198
"13","Egypt",2009,41,9,18,14,19,111,0.54,2329.23948,9.086999893
"14","Egypt",2010,118,24,46,48,24,105,0.551,2644.817039,8.756999969
"15","Egypt",2011,1381,338,971,72,20,112,0.556,2791.954962,11.84899998
"16","Egypt",2012,336,86,212,38,25,118,0.571,3232.648892,12.59700012
"17","Libya",2005,7,3,3,1,16,117,0.642,8163.010778,18.9279995
"18","Libya",2006,7,5,2,0,18,105,0.64,9336.35667,18.67200089
"19","Libya",2007,1,0,0,1,16,131,0.639,11300.19134,18.44799995
"20","Libya",2008,3,0,2,1,17,126,0.637,14382.57629,18.37299919
"21","Libya",2009,5,0,3,2,16,130,0.635,10275.26656,18.87700081
"22","Libya",2010,4,0,1,3,13,154,0.634,12064.78069,18.99900055
"23","Libya",2011,125,22,48,55,11,168,0.625,5554.179164,19.00499916
"24","Libya",2012,133,24,58,51,12,160,0.616,13025.28139,19.03000069
"25","Morocco",2005,17,2,13,2,25,78,0.409,2018.025743,11.01000023
"26","Morocco",2006,13,1,12,0,25,79,0.412,2196.01219,9.670000076
"27","Morocco",2007,12,3,8,1,28,72,0.422,2499.259938,9.56000042
"28","Morocco",2008,9,3,5,1,28,80,0.429,2890.360083,9.569999695
"29","Morocco",2009,6,0,5,1,26,89,0.437,2866.924199,8.960000038
"30","Morocco",2010,11,1,8,2,27,91,0.449,2839.925168,9.090000153
"31","Morocco",2011,194,22,171,1,27,80,0.463,3046.949136,8.909999847
"32","Morocco",2012,82,20,58,4,30,88,0.48,2912.658275,8.989999771
"33","Sudan",2005,201,16,3,182,12,144,0.274,689.209557,15.33100033
"34","Sudan",2006,116,9,1,106,11,156,0.283,905.3097449,15.08600044
"35","Sudan",2007,64,0,1,63,9,172,0.282,1128.41035,14.87199974
"36","Sudan",2008,119,10,3,106,7,173,0.298,1304.533051,14.80000019
"37","Sudan",2009,188,14,3,171,6,176,0.305,1163.796952,13
"38","Sudan",2010,124,5,13,106,7,172,0.306,1401.477474,15.18599987
"39","Sudan",2011,149,10,38,101,7,177,0.301,1437.773295,17.44000053
"40","Sudan",2012,315,25,106,184,4,173,0.311,1457.894582,17.4659996
"41","Tunisia",2005,2,0,1,1,42,43,0.586,3193.206569,12.87199974
"42","Tunisia",2006,0,0,0,0,39,51,0.594,3370.033926,12.51000023
"43","Tunisia",2007,0,0,0,0,35,61,0.601,3775.75001,12.36499977
"44","Tunisia",2008,29,14,14,1,37,62,0.612,4307.155878,12.44299984
"45","Tunisia",2009,1,0,1,0,35,65,0.614,4128.462783,13.28999996
"46","Tunisia",2010,28,4,22,2,36,66,0.625,4141.976353,13.04899979
"47","Tunisia",2011,550,162,356,32,31,73,0.635,4264.674946,18.33399963
"48","Tunisia",2012,288,81,188,19,34,75,0.633,4152.678587,17.62999916
